user_id,total_sessions_before_idle,sessions_in_last_30d_before_idle,days_idle,last_paid_plan,favorite_category,account_age_years,device_type,acquisition_channel,comeback_trigger_campaign,made_repeat_purchase_in_7d,used_new_feature_in_7d,churn_within_30d
0,55,2,226,Free,Fashion,1.7,Mobile,Paid,1,0,0,0
1,29,3,114,Free,Electronics,4.0,Desktop,Paid,1,0,0,0
2,64,12,190,Free,Sports,1.06,Mobile,Organic,0,0,0,0
3,152,17,365,Free,Groceries,3.51,Mobile,Paid,1,0,1,0
4,27,4,319,Free,Electronics,3.71,Mobile,Referral,0,0,1,0
5,27,3,198,Free,Books,1.69,Mobile,Paid,1,0,0,0
6,161,8,60,Free,Electronics,2.65,Mobile,Paid,1,0,1,0
7,72,9,182,Paid,Books,5.05,Mobile,Paid,1,1,1,0
8,21,4,259,Free,Electronics,1.32,Mobile,Paid,0,0,0,0
9,57,7,249,Paid,Electronics,2.89,Mobile,Referral,0,0,0,0
10,21,2,151,Paid,Groceries,5.63,Mobile,Paid,1,0,0,1
11,21,3,202,Free,Groceries,3.27,Mobile,Referral,1,0,0,1
12,43,7,60,Paid,Sports,4.49,Mobile,Referral,0,0,0,0
13,5,1,158,Paid,Fashion,5.05,Mobile,Paid,0,0,0,0
14,6,1,60,Free,Groceries,1.62,Mobile,Organic,0,0,1,0
15,19,1,248,Free,Electronics,1.7,Desktop,Organic,1,1,1,0
16,13,1,222,Free,Electronics,4.67,Desktop,Referral,1,0,1,0
17,46,6,210,Paid,Sports,4.64,Mobile,Organic,0,0,0,0
18,14,1,169,Paid,Books,0.83,Mobile,Organic,0,0,0,0
19,9,1,304,Free,Fashion,2.27,Mobile,Organic,1,1,1,1
20,144,22,121,Paid,Fashion,2.69,Mobile,Organic,0,1,1,0
21,27,2,111,Free,Books,5.06,Mobile,Paid,1,0,1,0
22,36,3,217,Free,Groceries,2.82,Mobile,Paid,0,0,0,0
23,8,1,60,Paid,Sports,5.59,Mobile,Organic,0,1,0,0
24,20,2,157,Free,Groceries,5.98,Mobile,Paid,0,0,1,0
25,38,3,112,Paid,Sports,4.79,Mobile,Paid,1,1,0,0
26,11,1,149,Paid,Groceries,4.17,Mobile,Paid,0,1,0,0
27,49,8,188,Paid,Sports,2.66,Mobile,Organic,0,0,0,0
28,19,1,100,Free,Fashion,0.87,Mobile,Referral,1,0,0,0
29,25,1,365,Paid,Sports,3.65,Mobile,Organic,0,1,0,0
30,19,1,185,Paid,Electronics,2.49,Mobile,Organic,1,1,0,1
31,212,29,137,Free,Sports,2.43,Mobile,Paid,1,0,1,0
32,33,3,353,Free,Fashion,4.28,Mobile,Referral,0,0,1,0
33,12,1,158,Free,Groceries,3.05,Desktop,Paid,0,0,0,1
34,76,5,68,Paid,Groceries,4.64,Mobile,Paid,1,1,0,0
35,10,1,167,Paid,Sports,2.69,Mobile,Organic,1,0,0,0
36,41,4,65,Free,Groceries,1.33,Mobile,Organic,1,0,0,0
37,5,1,93,Paid,Electronics,3.04,Mobile,Organic,0,0,0,0
38,9,1,98,Free,Books,5.73,Desktop,Organic,0,0,1,0
39,41,6,60,Paid,Electronics,4.91,Desktop,Organic,0,0,0,0
40,70,9,154,Free,Fashion,1.63,Mobile,Paid,1,0,0,1
41,40,4,98,Free,Fashion,2.65,Mobile,Organic,0,0,0,1
42,30,5,179,Free,Fashion,5.6,Mobile,Referral,1,1,1,0
43,25,2,60,Free,Books,1.18,Desktop,Referral,0,0,1,0
44,8,1,137,Paid,Sports,1.9,Desktop,Organic,0,1,0,0
45,17,1,81,Free,Sports,1.94,Mobile,Organic,0,0,0,0
46,21,3,129,Free,Fashion,3.64,Mobile,Organic,0,0,0,0
47,96,12,60,Free,Fashion,2.76,Desktop,Paid,0,1,1,0
48,47,8,169,Free,Fashion,0.94,Mobile,Paid,0,0,0,1
49,6,1,146,Paid,Electronics,3.96,Mobile,Organic,0,0,1,0
50,46,3,147,Paid,Fashion,1.04,Mobile,Organic,1,0,0,0
51,23,4,78,Free,Electronics,3.84,Mobile,Paid,1,0,0,0
52,17,2,61,Free,Books,3.29,Desktop,Paid,0,0,0,0
53,62,5,211,Free,Books,3.22,Desktop,Paid,0,0,1,0
54,93,9,60,Paid,Books,0.87,Mobile,Referral,0,0,1,0
55,85,5,315,Paid,Electronics,4.02,Mobile,Paid,1,0,1,0
56,15,1,361,Paid,Groceries,2.87,Mobile,Organic,0,1,1,0
57,25,2,112,Paid,Groceries,2.76,Mobile,Paid,1,1,0,0
58,47,9,217,Paid,Electronics,3.78,Mobile,Organic,1,0,0,0
59,88,6,135,Paid,Fashion,3.83,Mobile,Paid,1,1,0,0
60,21,3,136,Free,Electronics,0.58,Desktop,Referral,0,0,0,0
61,28,4,175,Free,Fashion,1.19,Mobile,Organic,1,1,0,0
62,11,1,318,Free,Books,1.8,Mobile,Organic,0,0,0,0
63,11,1,73,Free,Fashion,4.23,Mobile,Organic,1,1,0,0
64,75,10,211,Paid,Books,3.67,Mobile,Organic,0,1,1,0
65,129,8,164,Free,Fashion,4.67,Mobile,Paid,0,1,1,0
66,31,4,112,Free,Groceries,4.57,Mobile,Paid,1,1,0,0
67,91,9,82,Free,Fashion,5.19,Mobile,Organic,0,1,1,0
68,48,3,104,Free,Books,2.57,Mobile,Organic,0,0,1,0
69,18,3,60,Free,Fashion,2.4,Mobile,Paid,1,0,0,0
70,48,6,66,Paid,Fashion,5.07,Mobile,Organic,0,0,0,0
71,155,25,60,Paid,Sports,1.81,Mobile,Paid,0,1,1,0
72,32,3,292,Paid,Groceries,3.04,Mobile,Paid,0,1,0,0
73,159,21,60,Free,Fashion,1.57,Mobile,Paid,0,0,1,0
74,3,1,113,Free,Groceries,5.53,Mobile,Paid,1,0,0,0
75,76,6,229,Free,Books,2.74,Mobile,Paid,1,0,0,0
76,37,6,60,Paid,Books,1.67,Mobile,Organic,0,0,0,0
77,25,2,60,Free,Electronics,4.31,Mobile,Paid,1,0,0,0
78,37,5,81,Free,Sports,1.85,Mobile,Paid,0,0,0,0
79,5,1,129,Paid,Fashion,5.69,Mobile,Paid,0,1,0,0
80,27,4,105,Free,Electronics,2.52,Mobile,Organic,0,0,1,0
81,48,2,365,Free,Electronics,4.16,Mobile,Organic,0,0,1,0
82,146,27,117,Free,Groceries,2.4,Desktop,Referral,1,0,1,0
83,20,3,155,Free,Sports,4.94,Mobile,Organic,0,0,0,0
84,15,2,99,Free,Groceries,5.43,Desktop,Paid,1,0,1,1
85,21,2,102,Free,Groceries,4.83,Mobile,Paid,0,0,1,0
86,83,14,86,Paid,Sports,5.17,Mobile,Paid,1,1,1,0
87,47,7,365,Paid,Groceries,1.06,Desktop,Organic,0,1,1,1
88,20,2,283,Free,Groceries,5.58,Desktop,Organic,0,0,1,0
