user_id,age,region,access_time,group,converted
1,43,TX,Afternoon (12-17),A,0
2,36,TX,Morning (9-12),A,0
3,45,GA,Evening (17-21),B,0
4,56,NY,Afternoon (12-17),A,0
5,35,FL,Afternoon (12-17),A,0
6,35,Others,Morning (9-12),B,0
7,56,Others,Afternoon (12-17),B,1
8,47,Others,Evening (17-21),B,0
9,32,IL,Afternoon (12-17),A,0
10,44,CA,Night (21-24),B,0
11,32,FL,Night (21-24),A,0
12,32,Others,Morning (9-12),A,0
13,40,Others,Morning (9-12),B,0
14,18,Others,Evening (17-21),A,0
15,18,CA,Afternoon (12-17),A,0
16,31,Others,Morning (9-12),B,1
17,25,CA,Afternoon (12-17),A,0
18,41,Others,Afternoon (12-17),B,0
19,27,Others,Evening (17-21),B,0
20,21,Others,Morning (9-12),B,0
21,55,Others,Morning (9-12),A,0
22,35,GA,Night (21-24),B,0
23,38,Others,Evening (17-21),A,1
24,20,Others,Afternoon (12-17),B,0
25,31,CA,Evening (17-21),A,0
26,39,GA,Afternoon (12-17),A,0
27,24,FL,Evening (17-21),B,0
28,42,GA,Afternoon (12-17),A,0
29,30,GA,Morning (9-12),A,0
30,34,Others,Evening (17-21),A,1
31,30,PA,Afternoon (12-17),B,0
32,60,TX,Night (21-24),A,0
33,37,Others,Afternoon (12-17),A,0
34,25,Others,Night (21-24),A,0
35,47,Others,Night (21-24),B,0
36,23,NY,Morning (9-12),B,0
37,40,Others,Evening (17-21),A,0
38,18,Others,Afternoon (12-17),A,0
39,22,TX,Night (21-24),A,0
40,40,CA,Afternoon (12-17),A,1
41,46,Others,Evening (17-21),A,0
42,40,Others,Afternoon (12-17),A,0
43,36,Others,Morning (9-12),B,1
44,34,Others,Morning (9-12),B,0
45,20,Others,Afternoon (12-17),A,0
46,29,Others,Evening (17-21),B,0
47,32,CA,Evening (17-21),B,0
48,50,FL,Evening (17-21),B,0
49,42,GA,Afternoon (12-17),B,0
50,18,Others,Afternoon (12-17),A,0
51,41,Others,Morning (9-12),A,0
52,33,Others,Evening (17-21),B,0
53,29,FL,Night (21-24),A,0
54,45,Others,Afternoon (12-17),A,0
55,50,CA,Morning (9-12),A,0
56,49,IL,Morning (9-12),A,0
57,27,Others,Evening (17-21),B,0
58,34,Others,Evening (17-21),A,0
59,41,Others,Evening (17-21),A,0
60,49,FL,Afternoon (12-17),A,0
61,32,Others,Evening (17-21),A,0
62,35,NY,Evening (17-21),B,0
63,24,OH,Afternoon (12-17),A,0
64,23,Others,Afternoon (12-17),B,0
65,47,Others,Morning (9-12),B,0
66,54,Others,Afternoon (12-17),B,0
67,37,TX,Evening (17-21),A,0
68,50,Others,Afternoon (12-17),A,0
69,42,CA,Evening (17-21),B,0
70,30,Others,Afternoon (12-17),B,0
71,42,NY,Morning (9-12),A,0
72,56,NY,Afternoon (12-17),A,0
73,37,Others,Afternoon (12-17),A,0
74,56,Others,Afternoon (12-17),B,0
75,18,CA,Morning (9-12),A,1
76,47,PA,Afternoon (12-17),B,0
77,39,Others,Morning (9-12),B,0
78,34,IL,Morning (9-12),B,0
79,39,TX,Afternoon (12-17),B,0
80,18,OH,Afternoon (12-17),A,0
81,35,IL,Night (21-24),B,0
82,42,Others,Afternoon (12-17),B,0
83,55,Others,Evening (17-21),B,0
84,31,Others,Afternoon (12-17),A,0
85,28,Others,Evening (17-21),B,0
86,31,GA,Afternoon (12-17),A,0
87,48,CA,Night (21-24),A,0
88,41,FL,Afternoon (12-17),B,1
89,31,OH,Evening (17-21),B,0
90,44,TX,Afternoon (12-17),B,0
91,39,Others,Morning (9-12),A,0
92,49,Others,Evening (17-21),B,0
93,29,FL,Morning (9-12),A,0
94,34,Others,Afternoon (12-17),B,0
95,33,Others,Morning (9-12),A,0
96,20,Others,Evening (17-21),B,0
97,41,Others,Night (21-24),B,0
98,41,Others,Afternoon (12-17),A,0
99,38,Others,Evening (17-21),A,0
100,35,Others,Afternoon (12-17),B,0
101,21,Others,Afternoon (12-17),B,0
102,32,CA,Night (21-24),B,0
103,33,TX,Evening (17-21),B,0
104,28,Others,Evening (17-21),A,0
105,36,FL,Afternoon (12-17),A,0
106,42,CA,Afternoon (12-17),A,0
107,60,Others,Morning (9-12),A,0
108,40,CA,Afternoon (12-17),B,0
109,41,Others,Afternoon (12-17),A,0
110,37,Others,Evening (17-21),B,0
111,18,Others,Evening (17-21),B,0
112,37,Others,Afternoon (12-17),B,0
113,38,CA,Morning (9-12),B,0
114,67,Others,Evening (17-21),A,0
115,35,Others,Morning (9-12),B,0
116,41,Others,Evening (17-21),A,0
117,37,OH,Morning (9-12),A,0
118,23,NY,Afternoon (12-17),B,0
119,51,Others,Night (21-24),A,0
120,47,TX,Morning (9-12),B,0
121,47,Others,Afternoon (12-17),B,0
122,27,IL,Afternoon (12-17),B,0
123,54,CA,Night (21-24),A,0
124,21,PA,Evening (17-21),B,0
125,45,FL,Morning (9-12),A,0
126,64,Others,Morning (9-12),B,0
127,26,Others,Evening (17-21),A,0
