age,educ,black,hisp,marr,nodegree,re74,re75,re78,treat,source
37,11,1,0,1,1,0,0,9930.05,1,NSW
22,9,0,1,0,1,0,0,3595.89,1,NSW
30,12,1,0,0,0,0,0,24909.4,1,NSW
27,11,1,0,0,1,0,0,7506.15,1,NSW
33,8,1,0,0,1,0,0,289.79,1,NSW
22,9,1,0,0,1,0,0,4056.49,1,NSW
23,12,1,0,0,0,0,0,0,1,NSW
32,11,1,0,0,1,0,0,8472.16,1,NSW
22,16,1,0,0,0,0,0,2164.02,1,NSW
33,12,0,0,1,0,0,0,12418.1,1,NSW
19,9,1,0,0,1,0,0,8173.91,1,NSW
21,13,1,0,0,0,0,0,17094.6,1,NSW
18,8,1,0,0,1,0,0,0,1,NSW
27,10,1,0,1,1,0,0,18739.9,1,NSW
17,7,1,0,0,1,0,0,3023.88,1,NSW
19,10,1,0,0,1,0,0,3228.5,1,NSW
27,13,1,0,0,0,0,0,14581.9,1,NSW
23,10,1,0,0,1,0,0,7693.4,1,NSW
40,12,1,0,0,0,0,0,10804.3,1,NSW
26,12,1,0,0,0,0,0,10747.3,1,NSW
23,11,1,0,0,1,0,0,0,1,NSW
41,14,0,0,0,0,0,0,5149.5,1,NSW
38,9,0,0,0,1,0,0,6408.95,1,NSW
24,11,1,0,0,1,0,0,1991.4,1,NSW
18,10,1,0,0,1,0,0,11163.2,1,NSW
29,11,1,0,1,1,0,0,9643,1,NSW
25,11,1,0,0,1,0,0,9897.05,1,NSW
27,10,0,1,0,1,0,0,11142.9,1,NSW
17,10,1,0,0,1,0,0,16218,1,NSW
24,11,1,0,0,1,0,0,995.7,1,NSW
17,10,1,0,0,1,0,0,0,1,NSW
48,4,1,0,0,1,0,0,6551.59,1,NSW
25,11,1,0,1,1,0,0,1574.42,1,NSW
20,12,1,0,0,0,0,0,0,1,NSW
25,12,1,0,0,0,0,0,3191.75,1,NSW
42,14,1,0,0,0,0,0,20505.9,1,NSW
25,5,1,0,0,1,0,0,6181.88,1,NSW
23,12,1,0,1,0,0,0,5911.55,1,NSW
46,8,1,0,1,1,0,0,3094.16,1,NSW
24,10,1,0,0,1,0,0,0,1,NSW
21,12,1,0,0,0,0,0,1254.58,1,NSW
19,9,0,0,0,1,0,0,13188.8,1,NSW
17,8,1,0,0,1,0,0,8061.48,1,NSW
18,8,0,1,1,1,0,0,2787.96,1,NSW
20,11,1,0,0,1,0,0,3972.54,1,NSW
25,11,1,0,1,1,0,0,0,1,NSW
17,8,1,0,0,1,0,0,0,1,NSW
17,9,1,0,0,1,0,0,0,1,NSW
25,5,1,0,0,1,0,0,12187.4,1,NSW
23,12,1,0,0,0,0,0,4843.18,1,NSW
28,8,1,0,0,1,0,0,0,1,NSW
31,11,1,0,1,1,0,0,8087.49,1,NSW
18,11,1,0,0,1,0,0,0,1,NSW
25,12,1,0,0,0,0,0,2348.97,1,NSW
30,11,1,0,1,1,0,0,590.782,1,NSW
17,10,1,0,0,1,0,0,0,1,NSW
37,9,1,0,0,1,0,0,1067.51,1,NSW
41,4,1,0,1,1,0,0,7284.99,1,NSW
42,14,1,0,1,0,0,0,13167.5,1,NSW
22,11,0,0,0,1,0,0,1048.43,1,NSW
17,8,1,0,0,1,0,0,0,1,NSW
29,8,1,0,0,1,0,0,1923.94,1,NSW
35,10,1,0,0,1,0,0,4666.24,1,NSW
27,11,1,0,0,1,0,0,549.298,1,NSW
29,4,1,0,0,1,0,0,762.915,1,NSW
28,9,1,0,0,1,0,0,10694.3,1,NSW
27,11,1,0,0,1,0,0,0,1,NSW
23,7,0,0,0,1,0,0,0,1,NSW
45,5,1,0,1,1,0,0,8546.71,1,NSW
29,13,1,0,0,0,0,0,7479.66,1,NSW
27,9,1,0,0,1,0,0,0,1,NSW
46,13,1,0,0,0,0,0,647.205,1,NSW
18,6,1,0,0,1,0,0,0,1,NSW
25,12,1,0,0,0,0,0,11965.8,1,NSW
28,15,1,0,0,0,0,0,9598.54,1,NSW
25,11,0,0,0,1,0,0,18783.3,1,NSW
22,12,1,0,0,0,0,0,18678.1,1,NSW
21,9,1,0,0,1,0,0,0,1,NSW
40,11,1,0,0,1,0,0,23005.6,1,NSW
22,11,1,0,0,1,0,0,6456.7,1,NSW
25,12,1,0,0,0,0,0,0,1,NSW
18,12,1,0,0,0,0,0,2321.11,1,NSW
38,12,0,0,0,0,0,0,4941.85,1,NSW
27,13,1,0,0,0,0,0,0,1,NSW
27,8,1,0,0,1,0,0,0,1,NSW
38,11,1,0,0,1,0,0,0,1,NSW
23,8,0,1,0,1,0,0,3881.28,1,NSW
26,11,1,0,0,1,0,0,17231,1,NSW
21,12,0,0,0,0,0,0,8048.6,1,NSW
25,8,1,0,0,1,0,0,0,1,NSW
31,11,1,0,1,1,0,0,14509.9,1,NSW
17,10,1,0,0,1,0,0,0,1,NSW
25,11,1,0,0,1,0,0,0,1,NSW
21,12,1,0,0,0,0,0,9983.78,1,NSW
44,11,1,0,0,1,0,0,0,1,NSW
25,12,0,0,0,0,0,0,5587.5,1,NSW
18,9,1,0,0,1,0,0,4482.85,1,NSW
42,12,1,0,0,0,0,0,2456.15,1,NSW
25,10,1,0,0,1,0,0,0,1,NSW
31,9,0,1,0,1,0,0,26817.6,1,NSW
24,10,1,0,0,1,0,0,0,1,NSW
26,10,1,0,0,1,0,0,9265.79,1,NSW
25,11,1,0,0,1,0,0,485.23,1,NSW
18,11,1,0,0,1,0,0,4814.63,1,NSW
19,11,1,0,0,1,0,0,7458.1,1,NSW
43,9,1,0,0,1,0,0,0,1,NSW
27,13,1,0,0,0,0,0,34099.3,1,NSW
17,9,1,0,0,1,0,0,1953.27,1,NSW
30,11,1,0,0,1,0,0,0,1,NSW
26,10,1,0,1,1,2028,0,0,1,NSW
20,9,1,0,0,1,6083.99,0,8881.67,1,NSW
17,9,0,1,0,1,445.17,74.3435,6210.67,1,NSW
20,12,1,0,0,0,989.268,165.208,0,1,NSW
18,11,1,0,0,1,858.254,214.564,929.884,1,NSW
27,12,1,0,1,0,3670.87,334.049,0,1,NSW
21,12,0,0,0,0,3670.87,334.049,12558,1,NSW
27,12,1,0,0,0,2143.41,357.95,22163.2,1,NSW
20,12,1,0,0,0,0,377.569,1652.64,1,NSW
19,10,1,0,0,1,0,385.274,8124.71,1,NSW
23,12,1,0,0,0,5506.31,501.074,671.332,1,NSW
29,14,1,0,0,0,0,679.673,17815,1,NSW
18,10,1,0,0,1,0,798.908,9737.15,1,NSW
19,9,1,0,0,1,0,798.908,17685.2,1,NSW
27,13,0,0,1,0,9381.57,853.722,0,1,NSW
18,11,0,0,0,1,3678.23,919.558,4321.71,1,NSW
27,9,1,0,1,1,0,934.445,1773.42,1,NSW
22,12,1,0,0,0,5605.85,936.177,0,1,NSW
23,10,1,0,1,1,0,936.439,11233.3,1,NSW
23,12,0,1,0,0,9385.74,1117.44,559.443,1,NSW
20,11,1,0,0,1,3637.5,1220.84,1085.44,1,NSW
17,9,1,0,0,1,1716.51,1253.44,5445.2,1,NSW
28,11,1,0,0,1,0,1284.08,60307.9,1,NSW
26,11,1,0,1,1,0,1392.85,1460.36,1,NSW
20,11,1,0,0,1,16318.6,1484.99,6943.34,1,NSW
24,11,1,0,1,1,824.389,1666.11,4032.71,1,NSW
31,9,1,0,0,1,0,1698.61,10363.3,1,NSW
23,8,0,0,1,1,0,1713.15,4232.31,1,NSW
18,10,1,0,0,1,2143.41,1784.27,11141.4,1,NSW
29,12,1,0,0,0,10881.9,1817.28,0,1,NSW
26,11,0,0,0,1,0,2226.27,13385.9,1,NSW
24,9,1,0,0,1,9154.7,2288.68,4849.56,1,NSW
25,12,1,0,0,0,14426.8,2409.27,0,1,NSW
24,10,1,0,0,1,4250.4,2421.95,1660.51,1,NSW
46,8,1,0,0,1,3165.66,2594.72,0,1,NSW
31,12,0,0,0,0,0,2611.22,2484.55,1,NSW
19,11,1,0,0,1,2305.03,2615.28,4146.6,1,NSW
19,8,1,0,0,1,0,2657.06,9970.68,1,NSW
27,11,1,0,0,1,2206.94,2666.27,0,1,NSW
26,11,1,0,1,1,0,2754.65,26372.3,1,NSW
20,10,1,0,0,1,5005.73,2777.35,5615.19,1,NSW
28,10,1,0,0,1,0,2836.51,3196.57,1,NSW
24,12,1,0,0,0,13765.8,2842.76,6167.68,1,NSW
19,8,1,0,0,1,2636.35,2937.26,7535.94,1,NSW
23,12,1,0,0,0,6269.34,3039.96,8484.24,1,NSW
42,9,1,0,1,1,0,3058.53,1294.41,1,NSW
25,13,1,0,0,0,12362.9,3090.73,0,1,NSW
18,9,1,0,0,1,0,3287.38,5010.34,1,NSW
21,12,1,0,0,0,6473.68,3332.41,9371.04,1,NSW
27,10,1,0,0,1,1001.15,3550.07,0,1,NSW
21,8,1,0,0,1,989.268,3695.9,4279.61,1,NSW
22,9,1,0,0,1,2192.88,3836.99,3462.56,1,NSW
31,4,1,0,0,1,8517.59,4023.21,7382.55,1,NSW
24,10,1,0,1,1,11703.2,4078.15,0,1,NSW
29,10,1,0,0,1,0,4398.95,0,1,NSW
29,12,1,0,0,0,9748.39,4878.94,10976.5,1,NSW
19,10,0,0,0,1,0,5324.11,13829.6,1,NSW
19,11,0,1,1,1,5424.48,5463.8,6788.46,1,NSW
31,9,1,0,0,1,10717,5517.84,9558.5,1,NSW
22,10,1,0,1,1,1468.35,5588.66,13228.3,1,NSW
21,9,1,0,0,1,6416.47,5749.33,743.667,1,NSW
17,10,1,0,0,1,1291.47,5793.85,5522.79,1,NSW
26,12,1,0,1,0,8408.76,5794.83,1424.94,1,NSW
20,9,0,1,0,1,12260.8,5875.05,1358.64,1,NSW
19,10,1,0,0,1,4121.95,6056.75,0,1,NSW
26,10,1,0,0,1,25929.7,6788.96,672.877,1,NSW
28,11,1,0,0,1,1929.03,6871.86,0,1,NSW
22,12,0,1,1,0,492.23,7055.7,10092.8,1,NSW
33,11,1,0,0,1,0,7867.92,6281.43,1,NSW
22,12,0,0,0,0,6759.99,8455.5,12590.7,1,NSW
29,10,0,1,0,1,0,8853.67,5112.01,1,NSW
33,12,1,0,1,0,20279.9,10941.3,15952.6,1,NSW
25,14,1,0,1,0,35040.1,11536.6,36646.9,1,NSW
35,9,1,0,1,1,13602.4,13830.6,12804,1,NSW
35,8,1,0,1,1,13732.1,17976.2,3786.63,1,NSW
33,11,1,0,1,1,14660.7,25142.2,4181.94,1,NSW
45,11,0,0,1,1,21516.7,25243.6,25564.7,0,CPS
21,14,0,0,0,0,3175.97,5852.56,13496.1,0,CPS
38,12,0,0,1,0,23039,25130.8,25564.7,0,CPS
48,6,0,0,1,1,24994.4,25243.6,25564.7,0,CPS
18,8,0,0,1,1,1669.3,10727.6,9860.87,0,CPS
22,11,0,0,1,1,16365.8,18449.3,25564.7,0,CPS
48,10,0,0,1,1,16804.6,16354.6,18059.3,0,CPS
18,11,0,0,0,1,1144.21,3620.03,15739.3,0,CPS
48,9,0,0,1,1,25862.3,25243.6,25564.7,0,CPS
45,12,0,0,1,0,25862.3,0,3924.84,0,CPS
34,14,0,0,1,0,25862.3,23746.8,25564.7,0,CPS
16,10,0,0,0,1,1026.66,1224.58,6847.79,0,CPS
53,10,0,0,1,1,25862.3,25243.6,25564.7,0,CPS
19,12,0,0,0,0,867.955,4386.29,8777.7,0,CPS
27,12,0,0,1,0,25862.3,19047.2,19214.9,0,CPS
32,10,0,0,1,1,20427.3,23374.4,9179.64,0,CPS
27,12,0,0,1,0,20983.8,14822.1,25564.7,0,CPS
46,7,0,0,1,1,19171.4,1317.68,0,0,CPS
24,13,0,0,0,0,20830.9,25243.6,23903.7,0,CPS
22,13,0,0,0,0,11036.5,10351.7,6556.67,0,CPS
