user_id,past_14d_num_login,past_14d_num_purchases,past_14d_aov,country,gender,group,num_login_14d_after
0,8,1,54.67907628911173,US,M,treatment,10
1,15,4,17.321257455732496,JP,F,control,9
2,12,4,25.50333038112064,MY,F,treatment,10
3,18,0,33.988113196062315,JP,M,treatment,15
4,2,1,19.677478242288277,JP,F,treatment,3
5,8,3,23.7959554931701,JP,M,control,7
6,1,3,11.022347813784062,SG,M,control,4
7,2,1,17.838752650414765,JP,M,control,0
8,10,0,34.51637585778903,MY,F,treatment,9
9,5,2,12.986634944054149,JP,M,treatment,5
10,5,2,18.36166918433468,US,M,treatment,2
11,2,1,20.493691959318173,US,M,treatment,2
12,2,3,9.396110598309392,AU,F,treatment,5
13,3,0,12.024140522180344,JP,M,treatment,3
14,2,4,10.23334517670153,US,F,treatment,3
15,6,1,20.82984041052509,AU,F,control,4
16,1,1,12.813860578760037,JP,M,control,0
17,1,0,17.097286449733865,AU,M,treatment,1
18,2,0,20.045043316918573,SG,F,treatment,0
19,3,1,9.501406202813634,JP,F,treatment,7
20,12,2,39.84319744337738,AU,F,control,12
21,3,0,10.456299699788492,US,F,treatment,3
22,2,2,41.35391635871247,JP,M,control,4
23,13,0,23.925292024688314,JP,M,treatment,12
24,15,3,26.18937514462669,JP,F,treatment,6
25,1,0,10.767223914815967,US,M,control,3
26,12,3,20.983652247924763,JP,F,control,12
27,6,3,40.48570363862759,AU,F,control,8
28,1,2,25.410221069562763,JP,M,control,0
29,14,2,31.836751016815434,JP,F,treatment,15
30,2,3,18.50737301700056,US,F,treatment,1
31,14,0,10.361882259683503,SG,F,treatment,11
32,1,0,9.040072711476503,JP,F,control,0
33,3,0,14.511897970402453,US,M,treatment,8
34,3,0,13.183174400660711,JP,F,control,5
35,1,3,6.330571258728654,JP,F,control,2
36,11,5,37.77487965677205,SG,M,treatment,16
37,2,2,16.518182109903076,JP,F,treatment,10
38,13,5,48.019689257330114,SG,M,control,12
39,0,5,17.779272233115524,MY,M,treatment,4
40,1,0,19.4217933637323,AU,F,treatment,4
41,10,0,26.661952756954655,AU,F,treatment,12
42,3,0,13.598550121266957,SG,M,control,6
43,13,4,20.96699304550039,US,F,treatment,7
44,10,0,25.56992481118203,JP,M,control,10
45,0,0,14.621498590891235,JP,M,control,5
46,8,0,17.494957435546503,US,M,control,11
47,4,3,21.236004486097425,JP,M,control,5
48,2,2,20.653869622702793,SG,M,control,3
49,6,6,19.064680571025075,MY,F,treatment,7
50,11,2,42.136150442175186,AU,M,control,9
51,10,5,18.471218186109766,JP,M,control,10
52,14,2,72.41663866091055,US,F,control,14
53,11,2,22.205200334997997,JP,M,treatment,14
54,2,0,14.509223954716607,JP,M,treatment,3
55,7,3,13.033727205723329,JP,M,treatment,5
56,10,1,28.84185916922476,CA,M,control,3
57,3,3,20.842771617450843,JP,M,treatment,0
58,1,0,7.744362956626104,JP,F,treatment,1
59,4,0,21.285945486093706,AU,F,control,5
60,0,0,11.433430580356324,JP,F,control,0
61,19,0,51.7805000761029,SG,F,control,20
62,2,5,9.835981689598906,JP,M,treatment,5
63,1,2,21.268967174923212,JP,F,treatment,0
64,8,2,48.97090825131102,JP,M,control,8
65,0,1,22.911668419473468,MY,M,treatment,0
66,15,2,22.91861191841523,CA,M,control,10
67,0,0,13.849494164077951,JP,F,treatment,5
68,5,0,10.428139308971641,US,F,treatment,3
69,16,1,55.289411039395155,US,F,treatment,15
70,2,0,17.373659228653043,CA,M,control,1
71,18,0,39.020583770273085,MY,M,treatment,18
72,6,3,31.034176264755022,JP,F,treatment,5
73,1,2,16.932288953390742,JP,M,treatment,8
74,9,3,61.948889042407785,AU,M,control,10
75,3,3,33.15591504902457,CA,M,treatment,4
76,2,1,17.915865656141104,JP,M,control,3
77,15,5,14.360450935406638,US,M,control,17
78,16,0,33.31350777872097,SG,M,control,12
79,2,1,23.6499082918769,JP,F,treatment,1
80,0,3,8.180803011176437,SG,F,treatment,1
81,16,0,68.49491123484943,SG,F,control,12
82,1,1,12.294667664520274,JP,F,control,3
83,1,4,8.47375774837627,JP,F,treatment,0
84,1,1,17.452384908890327,SG,M,control,0
85,16,0,42.34243863516289,JP,M,treatment,9
86,7,0,46.37930522185972,US,M,control,8
87,2,2,28.003095044717348,JP,M,treatment,7
88,2,0,21.96841784691697,JP,M,control,4
89,5,1,21.41694591354975,SG,M,treatment,6
90,7,0,37.43121350777027,US,M,treatment,10
91,3,1,22.72059121864575,US,M,control,4
92,0,3,15.021842325684998,JP,M,treatment,0
93,8,3,51.49098435288661,US,M,treatment,12
94,10,2,87.83396663134967,SG,M,treatment,10
95,12,3,47.948780347471505,JP,M,treatment,13
96,1,7,11.312149999797155,MY,M,control,0
97,9,2,13.018857350291167,US,F,control,10
98,15,2,26.045591093881217,CA,F,control,14
99,13,2,32.90208704056533,US,F,control,9
100,13,5,13.547155794254687,JP,M,treatment,13
101,8,2,44.0186987532354,US,F,treatment,6
102,2,0,31.525124610579812,CA,M,treatment,1
103,8,2,46.67193407941412,JP,M,treatment,7
104,2,0,11.729750264194855,AU,M,treatment,0
105,13,0,72.80775893025488,AU,F,treatment,6
106,3,3,28.02542142925149,JP,F,treatment,6
107,2,0,16.570346387254794,JP,M,treatment,5
108,5,3,36.76116441577803,SG,M,treatment,7
109,3,0,16.938673227933055,JP,M,control,2
110,4,5,11.517600860659478,US,F,control,8
111,3,3,18.29513007420398,JP,F,treatment,6
112,15,1,16.846373773351182,AU,M,treatment,11
113,12,1,19.320443980525223,CA,F,treatment,8
114,9,5,24.227397744547194,JP,M,treatment,6
115,1,2,7.731388512148577,SG,M,control,1
116,16,1,57.66362311988556,US,F,treatment,15
117,3,1,26.136480721607583,JP,F,treatment,3
118,7,0,26.852446131358473,US,F,control,6
119,2,0,18.503469952058776,JP,M,treatment,2
120,11,0,32.268536432216074,US,M,treatment,6
121,8,5,33.581045066465485,JP,M,control,11
122,0,2,16.016227324511362,AU,F,control,5
123,13,3,25.271244964593627,CA,M,control,14
124,3,0,9.377422546941423,JP,F,treatment,2
125,7,3,21.709000433578005,AU,F,treatment,5
126,10,2,29.838040202960016,SG,M,treatment,8
127,5,0,13.436733025391796,JP,M,treatment,0
128,1,3,20.474494127017405,JP,M,treatment,1
129,0,0,8.993215755370436,CA,F,control,0
130,0,0,12.625431456271492,SG,F,control,0
131,11,0,30.589236559875953,JP,M,treatment,7
132,13,4,18.55587932647913,JP,F,treatment,9
133,1,0,19.573670786717443,US,M,treatment,5
134,5,3,15.096726647226555,JP,M,control,7
135,13,1,31.097526457564626,JP,F,control,9
136,1,2,22.269782162837366,JP,F,control,0
137,8,3,32.540291660554416,US,M,treatment,7
138,3,4,12.31885507863513,JP,M,treatment,4
139,1,0,11.459811865016018,AU,M,control,0
140,4,0,11.176875065235354,JP,M,control,4
141,4,0,20.11990870475877,JP,F,control,7
142,1,4,20.612937033649523,JP,M,control,2
143,9,3,30.096871457269035,JP,F,control,8
144,2,0,12.747510927277975,MY,F,control,2
145,11,0,28.859262713167325,JP,F,treatment,11
146,20,2,35.5643972585116,JP,F,treatment,18
147,2,1,17.25898718120372,MY,F,control,0
148,4,0,12.014735164728814,US,F,treatment,1
149,9,3,25.990428556326954,JP,M,control,8
150,14,0,14.098811695984288,CA,F,treatment,12
151,0,4,13.642600417599697,CA,M,treatment,3
152,15,4,49.40360596974492,SG,M,control,10
153,1,0,29.276218131057295,SG,M,treatment,0
154,3,0,19.23637476598756,JP,F,treatment,4
155,2,0,17.192959775374778,JP,M,treatment,1
156,4,0,14.714366531398289,CA,M,treatment,3
157,7,3,10.045986055531085,JP,F,control,11
158,4,2,25.045746068243048,JP,M,treatment,7
159,3,3,11.78574631210329,JP,F,treatment,3
160,15,1,43.245200589246046,JP,M,treatment,15
161,14,4,22.685496599253064,JP,F,treatment,10
162,4,1,15.13167020744693,SG,M,treatment,4
163,8,3,38.36840697039493,JP,F,treatment,6
164,6,3,19.84451209446268,CA,F,control,3
165,11,3,50.022679193312726,CA,F,treatment,14
166,2,0,39.97886980416119,SG,M,treatment,5
167,1,1,10.232053477395937,US,F,treatment,0
168,3,2,17.375928797548976,AU,M,control,5
169,2,2,24.12304401414436,SG,F,treatment,0
170,13,2,47.30315403818443,JP,M,treatment,12
171,14,4,29.4295882239472,JP,M,control,12
172,12,1,30.696845878045764,AU,M,control,8
173,0,1,42.31414390802556,AU,M,control,0
174,1,2,23.47963353694293,JP,M,control,0
175,3,3,13.232184117858608,JP,M,treatment,3
176,1,1,6.29336516651389,AU,M,treatment,4
177,11,1,44.916084632447934,MY,F,control,11
178,2,3,11.952038766517504,AU,M,treatment,4
179,3,1,27.3421947589879,JP,M,treatment,4
180,1,0,19.066189682120587,JP,M,control,7
181,9,0,37.6341197932403,US,M,control,12
182,1,1,10.906855068157908,JP,M,control,0
